Weights of ConvLayers:
dense_105/bias:0,"(1,)"
dense_106/kernel:0,"(8, 32)"
dense_106/bias:0,"(32,)"
dense_107/kernel:0,"(32, 1)"
dense_107/bias:0,"(1,)"
dense_108/kernel:0,"(8, 32)"
dense_108/bias:0,"(32,)"
dense_109/kernel:0,"(32, 1)"
dense_109/bias:0,"(1,)"
dense_110/kernel:0,"(8, 32)"
dense_110/bias:0,"(32,)"
dense_111/kernel:0,"(32, 1)"
dense_111/bias:0,"(1,)"
dense_112/kernel:0,"(8, 32)"
dense_112/bias:0,"(32,)"
dense_113/kernel:0,"(32, 1)"
dense_113/bias:0,"(1,)"
dense_114/kernel:0,"(8, 32)"
dense_114/bias:0,"(32,)"
dense_115/kernel:0,"(32, 1)"
dense_115/bias:0,"(1,)"
dense_116/kernel:0,"(8, 32)"
dense_116/bias:0,"(32,)"
dense_117/kernel:0,"(32, 1)"
dense_117/bias:0,"(1,)"
dense_118/kernel:0,"(8, 32)"
dense_118/bias:0,"(32,)"
dense_119/kernel:0,"(32, 1)"
dense_119/bias:0,"(1,)"
dense_120/kernel:0,"(8, 32)"
dense_120/bias:0,"(32,)"
dense_121/kernel:0,"(32, 1)"
dense_121/bias:0,"(1,)"
dense_122/kernel:0,"(8, 32)"
dense_122/bias:0,"(32,)"
dense_123/kernel:0,"(32, 1)"
dense_123/bias:0,"(1,)"
dense_124/kernel:0,"(8, 32)"
dense_124/bias:0,"(32,)"
dense_125/kernel:0,"(32, 1)"
dense_125/bias:0,"(1,)"
dense_126/kernel:0,"(8, 32)"
dense_126/bias:0,"(32,)"
dense_127/kernel:0,"(32, 1)"
dense_127/bias:0,"(1,)"
dense_128/kernel:0,"(8, 32)"
dense_128/bias:0,"(32,)"
dense_129/kernel:0,"(32, 1)"
dense_129/bias:0,"(1,)"
dense_130/kernel:0,"(8, 32)"
dense_130/bias:0,"(32,)"
dense_131/kernel:0,"(32, 1)"
dense_131/bias:0,"(1,)"
dense_132/kernel:0,"(8, 32)"
dense_132/bias:0,"(32,)"
dense_133/kernel:0,"(32, 1)"
dense_133/bias:0,"(1,)"
dense_134/kernel:0,"(8, 32)"
dense_134/bias:0,"(32,)"
dense_135/kernel:0,"(32, 1)"
dense_135/bias:0,"(1,)"
dense_136/kernel:0,"(8, 32)"
dense_136/bias:0,"(32,)"
dense_137/kernel:0,"(32, 1)"
dense_137/bias:0,"(1,)"
dense_138/kernel:0,"(8, 32)"
dense_138/bias:0,"(32,)"
dense_139/kernel:0,"(32, 1)"
dense_139/bias:0,"(1,)"
dense_140/kernel:0,"(8, 32)"
dense_140/bias:0,"(32,)"
dense_141/kernel:0,"(32, 1)"
dense_141/bias:0,"(1,)"
dense_142/kernel:0,"(8, 32)"
